2026-04-24 12:52:31 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 14:48:38 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-24 16:44:40 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-24 17:28:52 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-24 17:37:22 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 17:37:25 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 20:14:28 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-24 20:17:21 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 20:25:28 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 20:27:39 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-24 21:01:34 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-24 22:35:20 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-24 22:39:03 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 22:39:06 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 22:43:37 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-24 22:53:10 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-24 23:02:32 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 23:10:29 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 23:12:11 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-24 23:12:14 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 23:22:05 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 23:23:09 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 23:23:12 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 23:23:48 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 23:24:53 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-24 23:43:09 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 00:33:08 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-25 07:35:44 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-25 11:10:37 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 12:20:29 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 12:20:53 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 12:20:56 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 12:31:48 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 15:14:34 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-04-25 15:14:36 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-25 15:14:37 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 15:14:40 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-25 15:15:06 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-25 15:34:18 [info] [remote] network-interface change detected; probing SSH controllers
